0,mse_value,ssim_value
1105887323756168982_1911826536.jpg,2634.77567383,0.829395833255
1090852239706788096_1693047659.jpg,2968.40961426,0.741116587248
1082255854709804519_1434656058.jpg,1489.61652832,0.851456553107
1103199712498534981_1644894721.jpg,2172.11253174,0.614902419432
1085489714548987255_2081405532.jpg,2749.09315674,0.808893259216
1092777979417165147_2230540478.jpg,995.501816406,0.933676516818
1080208417930364859_1338822064.jpg,1434.27952148,0.874350571069
1102627142208944594_2175506117.jpg,1795.20237061,0.827937748938
440450742394953728.jpg,2828.8502,0.597481880618
444320384809046016.jpg,1909.41919237,0.733123195485
444304342116360193.jpg,911.107791142,0.946539694261
444222166028931072.jpg,2323.40898148,0.522197218972
1325238895067505029_1482029794.jpg,359.145744629,0.932425682106
675198586087341764_640546342.jpg,1958.29637207,0.823273681402
444657811885002753.jpg,876.09370444,0.924762103592
1173181032897769239_2867441594.jpg,936.290516493,0.87636713026
1093966386223802348_184806432.jpg,2312.57479492,0.869125430726
1098402941965645367_637746740.jpg,1136.20869141,0.705663214146
1081181483020342551_1460942580.jpg,2265.94498535,0.827445543256
675124059162145065_253482939.jpg,850.365993652,0.934373096795
1071534187544788807_13274814.jpg,1166.08552002,0.752440187922
1092673356491982469_1411028904.jpg,1295.66851563,0.900049451617
439982032857206784.jpg,1888.1358,0.667705788341
1107598203654040769_2064912618.jpg,3731.83303467,0.727166873866
1102137875021743734_1470092864.jpg,1299.79492188,0.89142617418
1102909201250132111_1980250391.jpg,1026.432771,0.916360112068
1101782641834716061_1048269089.jpg,920.24875434,0.567025680587
1101391650841741953_1995040049.jpg,1640.09177246,0.7906513679
1077205035212421757_471146613.jpg,2003.23913628,0.908645512758
1100304148895094082_522169596.jpg,2656.44706787,0.857274113369
1042401173050416603_2132621974.jpg,969.26154541,0.799370867869
1103333245772240091_104817180.jpg,1269.72508301,0.773853611205
1099856232733671189_1364926470.jpg,1885.06630127,0.865317467693
444083807239421952.jpg,2559.08845052,0.747649491559
1098889563449374312_2045499652.jpg,2665.96284668,0.728218409729
1102259574322075600_1980978940.jpg,2392.70834717,0.832671491375
1101049082954326612_1586769295.jpg,1844.58443359,0.892203043697
1101319140757444964_485538045.jpg,1376.61466797,0.854422315741
1091958591884309183_1136488275.jpg,1178.60293403,0.74369149777
445334072848429056.jpg,1892.0412963,0.507931501224
1112026561404286164_2258949940.jpg,1801.96292969,0.924637232242
1102132950289748827_1695224483.jpg,1886.9424292,0.751624372917
445978589947645952.jpg,1109.78404444,0.473139211628
1085807877501132464_274224518.jpg,2946.17839355,0.74642852001
1083988680038686692_1243134102.jpg,3446.53015869,0.391780723814
444253377879236608.jpg,1994.38007377,0.851319011429
1103363272315049896_1948350836.jpg,1621.92323242,0.622286315605
1091042603328171126_1934223162.jpg,581.693339844,0.965301471492
1108658294570781066_2213457977.jpg,938.627897949,0.803470394217
1075724519184640268_2042682921.jpg,2077.45950439,0.895824050527
1119979223609980231_207226484.jpg,1616.57731934,0.811746266791
1170811370048426602_2096718683.jpg,2891.76680176,0.535991186611
1325208621243851409_1512153066.jpg,508.001916998,0.913636193714
1101194396173467018_1693781150.jpg,2491.38623535,0.859152944664
444334401409646592.jpg,103.586872222,0.920948318971
1111975640503882534_2060516987.jpg,2278.83974121,0.886653857428
1090577593307296478_642306339.jpg,1349.71537326,0.906810451579
1103743808891667986_561385400.jpg,2682.5751001,0.820782717072
1197091810901103066_1815574739.jpg,892.100403646,0.772773177264
1090623103577548611_1295846208.jpg,2491.04448486,0.891210171083
1194653386813375077_2986313743.jpg,1124.30410889,0.914046064152
1094116629484379781_2225519326.jpg,1282.68469727,0.902549390349
1178255804453952350_1391745325.jpg,1377.78035156,0.817302654433
1093829607415351722_418004865.jpg,2829.04705078,0.773524139104
1102508658532273508_311236778.jpg,3369.59704102,0.832062583583
1157104831562796380_2293293090.jpg,545.865405273,0.510592284384
1068481080554051784_21092453.jpg,2215.86836914,0.670341446659
1065247799856511666_1990048501.jpg,1409.13028809,0.870085002827
442627447209484288.jpg,2280.84465547,0.67293801172
1089728817603959313_51404757.jpg,1373.11782715,0.862827272445
443919120136798209.jpg,2241.11242222,0.760332535002
444004861298765826.jpg,2460.89518889,0.837514846368
1102061812500690220_626382076.jpg,1530.86973877,0.864709408682
1103509707978281718_732178939.jpg,1687.53561279,0.706762271175
1325786867261882382_2366677066.jpg,1411.82685547,0.916999056764
1334143425393854360_2135023248.jpg,1454.7993457,0.656503322257
675143984109447816_516911401.jpg,1618.72169189,0.900425744783
1104827468922521847_2034778617.jpg,1034.56050537,0.92278926873
1126330908189454159_2287792874.jpg,1959.12345703,0.868809698701
444382728234860544.jpg,2135.15344208,0.845638074521
1101875807289167589_511176106.jpg,634.531669922,0.835624436935
664876834857806645_516911401.jpg,1302.56935791,0.791518228995
1113524379196660689_1493594165.jpg,269.95006954,0.894981818753
1103011607383392943_1297393599.jpg,2121.79702148,0.727367278297
440769747978694657.jpg,2544.32705185,0.669175367291
1118705669289917471_1922633950.jpg,436.15405816,0.956228140535
1102559609091021969_1598426046.jpg,166.092666016,0.851517996451
444086224915922944.jpg,3162.78393555,0.795206999364
1109136634189782317_2115844166.jpg,2024.16891602,0.699494679536
